timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,110,148,200,283,63,1007,115,27
2,109,147,202,289,61,1007,114,29
3,108,143,191,267,57,861,112,26
4,131,202,335,875,63,1470,144,59
5,149,218,327,626,72,1315,160,53
6,163,248,378,603,67,2273,175,60
7,162,260,419,923,69,3479,180,81
8,156,228,348,684,75,1921,167,57
9,154,235,361,652,74,3715,168,74
10,167,1572,1958,2349,77,4727,477,602
11,1563,1635,1830,2021,1409,2089,1568,66
12,1546,1608,1703,1856,1411,1895,1548,51
13,1549,1770,1848,1891,1405,2257,1573,96
14,1582,1681,1832,1892,1427,1919,1592,75
15,1589,1680,1845,3613,1402,3801,1598,109
16,1559,1703,1896,2037,1376,2071,1582,91
17,1575,1808,1850,1901,1411,2005,1615,120
18,1569,1653,1820,1874,1390,1899,1576,74
19,1586,1638,1693,1766,1411,1831,1584,45
20,1596,1688,1821,1986,1441,1993,1601,68
21,1554,1646,1798,3659,1416,3801,1566,106
22,1547,1616,1739,1794,1402,1830,1553,54
23,1567,1656,1750,1807,1393,1861,1572,63
24,1572,1683,1770,1874,1391,1921,1581,71
25,1550,1618,1736,1940,1405,2040,1554,57
26,1552,1611,1745,1819,1397,1851,1554,52
27,1556,1640,1799,3729,1397,3987,1568,109
28,1565,1641,1759,1826,1387,1884,1571,57
29,1554,1664,1852,1911,1406,1933,1571,85
30,1564,1638,1781,3539,1397,3637,1571,100
