timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,265,1,523,1
2,25337,139,53172,95
3,25577,139,54066,128
4,25932,124,52950,90
5,26160,113,55229,84
6,25117,116,52028,104
7,25855,127,53468,104
8,25815,112,53350,101
9,25778,129,53401,119
10,26040,133,55402,99
11,26067,110,53554,139
12,25947,97,53705,96
13,25724,122,52471,124
14,25731,135,54073,100
15,25726,119,52915,93
16,26091,131,52842,110
17,25943,130,54187,77
18,26132,109,54173,115
19,26494,160,56022,128
20,26080,107,53841,92
21,25637,146,52700,128
22,25258,112,53007,107
23,25919,164,53612,118
24,25638,140,54204,133
25,3893,22,0,0
26,26,0,0,0
27,26,0,0,0
28,28,0,0,0
29,26,0,0,0
30,26,1,0,0
