strace: Process 1392263 attached with 22 threads
strace: Process 1392764 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 91.72    0.231312         163      1418       476 futex
  0.00    0.000010           0        74           pread64
  0.00    0.000003           0        71           write
  0.00    0.000012           0        45           read
  6.36    0.016050         697        23           epoll_wait
  0.00    0.000002           0        22           lseek
  0.02    0.000058           2        20           mmap
  0.03    0.000080           5        14           rt_sigprocmask
  0.01    0.000022           2        10           getrusage
  1.02    0.002584         369         7         5 restart_syscall
  0.00    0.000012           2         6           madvise
  0.00    0.000000           0         3           close
  0.00    0.000001           0         2           sched_getaffinity
  0.00    0.000000           0         1           mprotect
  0.01    0.000019          19         1           unlink
  0.00    0.000000           0         1           prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000001           1         1           set_robust_list
  0.03    0.000079          79         1           rseq
  0.78    0.001955        1955         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.252200         146      1722       481 total
