timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,744,174,1183,128
2,29236,7510,61796,6339
3,30353,6989,64221,6286
4,29612,7151,63098,6504
5,29269,7819,62469,6646
6,29795,7386,62616,6438
7,30186,7491,64963,6632
8,29830,7473,64263,6613
9,28847,7532,63130,6532
10,29302,7642,63080,6795
11,29828,7340,64098,6830
12,29668,7943,63282,6969
13,29798,7964,63933,6852
14,29508,7785,64248,6689
15,29528,8097,63248,6812
16,28533,7672,63160,6869
17,28417,7758,62154,6840
18,29339,8144,62438,7127
19,29041,7693,62780,6854
20,28732,7896,62189,6778
21,29045,8225,63104,7217
22,16475,4563,0,0
23,27,0,0,0
24,26,0,0,0
25,27,0,0,0
26,26,0,0,0
27,17,-3,0,0
28,26,0,0,0
29,26,0,0,0
30,27,0,0,0
