timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,548,143,745,147
2,15825,7299,38697,6287
3,15116,6660,37439,5950
4,16169,8138,37670,5677
5,15360,6884,49210,5205
6,14759,7635,34013,5791
7,15964,7637,36098,5653
8,16688,6976,38896,5679
9,17380,7415,41506,5722
10,15702,7576,39184,5639
11,16100,6220,38878,6270
12,15798,7143,40193,6610
13,16236,6207,41139,6375
14,14924,7382,34342,5964
15,17736,6678,42296,5604
16,15292,7676,37131,6200
17,16923,6764,38283,6263
18,16370,7000,35997,5860
19,16015,7671,37997,5859
20,15449,7441,36251,6289
21,10660,4431,-1402103,-206191
22,61,1,0,0
23,26,0,0,0
24,27,0,0,0
25,26,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,27,0,0,0
30,26,0,0,0
