timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,511,181,831,340
2,10037,2065,17107,2361
3,8923,2103,17218,2697
4,7830,2421,16159,2907
5,7536,2468,16185,3039
6,7781,2371,16393,3015
7,7932,2350,16796,2834
8,7513,2370,16717,3031
9,7763,2925,16896,3369
10,7655,2578,16004,2734
11,2300,709,0,0
12,26,0,0,0
13,26,0,0,0
14,26,0,0,0
15,26,0,0,0
16,28,0,0,0
17,26,0,0,0
18,26,0,0,0
19,27,0,0,0
20,26,0,0,0
21,28,0,0,0
22,26,0,0,0
23,26,0,0,0
24,27,0,0,0
25,26,0,0,0
26,28,0,0,0
27,26,0,0,0
28,26,0,0,0
29,27,0,0,0
30,26,0,0,0
