timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,321,3,730,3
2,26961,106,59544,94
3,27205,133,62556,109
4,26680,158,62320,103
5,26528,100,58501,89
6,27265,113,58789,122
7,27433,95,62507,95
8,26635,108,59054,85
9,26632,97,60208,122
10,26943,128,59859,122
11,26657,113,56060,104
12,26828,149,64748,108
13,27126,92,58234,107
14,27426,150,58702,99
15,26827,112,58222,113
16,26632,132,58301,130
17,26579,168,58168,118
18,27551,108,57295,102
19,26825,168,56871,137
20,27028,155,62508,119
21,26475,135,57407,118
22,25940,123,59376,98
23,27425,96,59107,92
24,24986,130,53219,84
25,26,0,0,0
26,20,0,0,0
27,25,0,0,0
28,26,0,0,0
29,27,0,0,0
30,25,0,0,0
