strace: Process 1328751 attached with 20 threads
strace: Process 1329225 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 90.64    0.190668         170      1121       380 futex
  0.18    0.000379           2       127           getrusage
  0.12    0.000250           3        74           pread64
  0.28    0.000581           8        71           write
  0.03    0.000068           1        46           read
  5.48    0.011518         479        24           epoll_wait
  0.00    0.000000           0        22           lseek
  0.91    0.001912         112        17           mmap
  0.02    0.000045           2        16           rt_sigprocmask
  1.97    0.004154         519         8         6 restart_syscall
  0.07    0.000137          19         7           madvise
  0.00    0.000000           0         3           close
  0.00    0.000000           0         2           mprotect
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000002           2         1           unlink
  0.00    0.000001           1         1           prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000001           1         1           set_robust_list
  0.00    0.000001           1         1           rseq
  0.31    0.000649         649         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.210366         136      1546       386 total
