timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,261,0,841,1
2,19535,38,76124,86
3,20076,50,78844,67
4,20168,55,79242,79
5,19709,51,74990,69
6,19957,48,77509,63
7,20483,42,78649,80
8,19747,47,76716,59
9,19877,54,76958,81
10,20325,56,80438,62
11,20100,68,77415,73
12,19916,35,77641,70
13,19796,51,77212,63
14,20292,84,75880,76
15,20231,64,76748,81
16,19684,48,75156,56
17,19883,39,78362,71
18,20486,68,80351,80
19,20378,59,78039,82
20,20204,55,78622,57
21,19989,61,78589,63
22,20306,43,80343,74
23,20429,70,71332,66
24,17657,79,67720,66
25,26,0,0,0
26,26,0,0,0
27,26,0,0,0
28,28,0,0,0
29,26,0,0,0
30,26,0,0,0
