timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,1049,1064,1130,4867,931,4867,1065,216
2,1050,1068,1908,4279,267,4279,1069,219
3,1051,1058,1130,3689,941,3689,1059,149
4,1067,1094,2109,4595,926,4595,1092,199
5,1078,1133,2133,4875,954,4875,1108,228
6,1081,1137,2115,3347,660,3347,1108,172
7,1079,1118,2611,4543,980,4543,1111,261
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,1058,1100,1155,4015,776,4015,1067,167
13,1058,1080,1171,3679,951,3679,1069,160
14,1057,1099,1158,4219,908,4219,1067,167
15,1058,1102,2135,3655,934,3655,1075,196
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,1059,1100,1144,1144,947,1144,1057,33
21,1058,1095,1146,2963,930,2963,1066,111
22,1059,1099,1144,4455,636,4455,1063,118
23,1059,1098,1146,4303,920,4303,1064,117
24,1060,1097,2887,4167,915,4167,1090,273
25,1059,1090,1169,1549,916,1549,1061,38
26,1059,1089,2099,4387,942,4387,1085,261
27,1063,1083,1142,1844,982,1844,1063,37
28,1064,1080,1123,1962,966,1962,1066,48
29,1064,1079,1763,3731,977,3731,1085,220
30,1064,1082,1134,4191,981,4191,1068,106
