timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,104564,11410860,0,112188
2,0,0,0,112208
3,0,0,0,112240
4,0,0,0,112240
5,0,0,0,112244
6,0,0,0,112268
7,0,0,0,112268
8,0,0,0,112268
9,0,0,0,112272
10,0,0,0,112280
11,0,0,0,112288
12,0,0,0,112308
13,0,0,0,112312
14,0,0,0,112312
15,0,0,0,112348
16,0,0,0,112392
17,0,0,0,112392
18,0,0,0,112392
19,0,0,0,112404
20,0,0,0,112404
21,0,0,0,112404
22,0,0,0,112404
23,0,0,0,112412
24,0,0,0,112416
25,0,0,0,112424
26,0,0,0,112424
27,0,0,0,112428
28,0,0,0,112464
29,0,0,0,0
30,0,0,0,0
