strace: Process 1376860 attached with 22 threads
strace: Process 1377360 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 76.81    0.086833         143       606       108 futex
  0.00    0.000001           0        74           pread64
  0.03    0.000029           0        71           write
  0.18    0.000208           4        44           read
  0.01    0.000014           0        22           lseek
  1.94    0.002194          99        22           epoll_wait
  0.05    0.000060           3        18           mprotect
  0.16    0.000179          10        17           mmap
  0.02    0.000019           1        14           rt_sigprocmask
 18.84    0.021302        3043         7         4 restart_syscall
  0.02    0.000028           4         6           madvise
  0.00    0.000004           1         3           close
  0.01    0.000006           3         2           gettid
  0.00    0.000000           0         2           sched_getaffinity
  0.02    0.000020          20         1           unlink
  0.00    0.000001           1         1           getrusage
  0.00    0.000001           1         1           prctl
  0.01    0.000013          13         1           clock_nanosleep
  0.00    0.000001           1         1           set_robust_list
  0.00    0.000000           0         1           rseq
  1.89    0.002132        2132         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.113045         123       915       112 total
