timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1546,401,1137,457
2,62354,12028,40614,10937
3,62788,12065,41154,11230
4,62628,11900,40927,11463
5,61320,11495,40561,10474
6,64247,11806,42882,10991
7,62253,11639,41505,10454
8,63999,12096,42971,10799
9,63657,12171,41820,11707
10,64050,12109,42143,10997
11,64318,12202,43505,10791
12,63616,11994,42552,11133
13,64143,12040,42227,11175
14,63158,12380,41896,11483
15,63224,12401,42390,11394
16,64234,12251,42529,11255
17,63861,12092,42260,11231
18,64239,12363,42108,11597
19,63093,11954,41427,11278
20,40406,7927,-1378174,-387223
21,26,0,0,0
22,28,0,0,0
23,27,0,0,0
24,26,0,0,0
25,26,0,0,0
26,26,0,0,0
27,28,0,0,0
28,27,0,0,0
29,26,0,0,0
30,26,0,0,0
