timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,822,1355,1686,2207,52,4975,846,395
2,814,1349,1678,2159,50,3159,835,387
3,796,1333,1625,1889,49,2365,818,382
4,920,1475,2046,2741,58,4607,941,424
5,932,1503,2415,3129,55,3969,962,458
6,815,1355,1650,1898,41,2389,837,384
7,815,1356,1658,1925,49,2635,838,385
8,818,1355,1663,1910,57,2339,840,383
9,817,1358,1658,1922,50,2879,839,385
10,1245,1871,2115,2249,55,2437,1205,501
11,1547,1961,2141,2325,45,2807,1549,307
12,843,1388,1824,2081,55,2283,864,402
13,822,1359,1665,2147,49,4335,844,393
14,827,1378,2101,2717,58,3037,860,420
15,672,1135,1319,1471,50,2227,674,341
16,775,1251,1397,1533,184,1798,800,325
17,583,1043,1330,1453,44,2155,611,309
18,502,958,1067,1104,44,1142,527,295
19,490,983,1082,1119,43,2175,531,298
20,689,1050,1094,1128,42,2169,663,291
21,572,961,1075,1108,45,2135,557,295
22,487,961,1084,1111,46,1147,509,297
23,506,996,1090,1112,43,1221,531,321
24,540,985,1091,1112,41,1140,549,312
25,680,1054,1096,1136,42,2173,652,306
26,699,1014,1078,1122,44,2191,659,278
27,589,1008,1070,1102,46,1246,591,291
28,593,986,1068,1098,41,1138,589,281
29,591,992,1073,1114,45,2163,591,275
30,644,1042,1095,1130,43,2163,638,285
