timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1190,194,1508,184
2,58283,11099,113216,12761
3,58831,11244,115758,13257
4,58696,11429,114017,13073
5,57906,11427,112861,13164
6,58793,11824,115170,13726
7,58850,11299,113718,13275
8,58654,11896,114860,13466
9,58679,11771,115402,13752
10,58739,11616,115097,13697
11,58519,11411,112143,13194
12,58560,11752,114846,13967
13,58375,11881,114872,13675
14,58641,11836,115809,13684
15,58554,11762,114893,13721
16,57996,11923,113425,13597
17,57741,11922,112646,14058
18,58192,12129,114258,14029
19,57470,11829,112066,13741
20,57416,11670,112212,13821
21,40883,8290,79032,9653
22,26,0,0,0
23,26,0,0,0
24,27,0,0,0
25,26,0,0,0
26,28,0,0,0
27,26,0,0,0
28,26,0,0,0
29,27,0,0,0
30,26,0,0,0
