timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,729,7,1474,22
2,23241,832,39267,1358
3,20218,713,24809,999
4,24850,124,33233,195
5,26612,265,50095,733
6,28568,131,46101,210
7,27512,129,41509,234
8,26438,111,36762,176
9,26876,118,38662,172
10,27804,212,52372,496
11,28289,150,44888,246
12,28269,132,44320,218
13,28288,106,44179,159
14,27220,109,40192,141
15,28372,214,51996,449
16,28361,103,44754,238
17,28048,109,43596,208
18,27382,115,40947,155
19,27814,111,42955,175
20,27793,170,50275,467
21,28350,160,45491,243
22,20780,50,0,0
23,15194,6,0,0
24,15189,6,0,0
25,15183,8,0,0
26,15196,1,0,0
27,15190,1,0,0
28,15214,2,0,0
29,15206,1,0,0
30,15204,3,0,0
