timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,14750,2389500,14750.0,2.279,0.014750
2,11253,1822986,11253.0,1.739,0.011253
3,10343,1675566,10343.0,1.598,0.010343
4,10177,1648674,10177.0,1.572,0.010177
5,11984,1941408,11984.0,1.851,0.011984
6,14847,2405214,14847.0,2.294,0.014847
7,14861,2407482,14861.0,2.296,0.014861
8,14893,2412666,14893.0,2.301,0.014893
9,15060,2439720,15060.0,2.327,0.015060
10,15157,2455434,15157.0,2.342,0.015157
11,15039,2436318,15039.0,2.323,0.015039
12,14818,2400516,14818.0,2.289,0.014818
13,14918,2416716,14918.0,2.305,0.014918
14,14985,2427570,14985.0,2.315,0.014985
15,14682,2378484,14682.0,2.268,0.014682
16,14773,2393226,14773.0,2.282,0.014773
17,15008,2431296,15008.0,2.319,0.015008
18,15002,2430324,15002.0,2.318,0.015002
19,14841,2404242,14841.0,2.293,0.014841
20,14923,2417526,14923.0,2.306,0.014923
21,15101,2446362,15101.0,2.333,0.015101
22,14963,2424006,14963.0,2.312,0.014963
23,14829,2402298,14829.0,2.291,0.014829
24,15179,2458998,15179.0,2.345,0.015179
25,14789,2395818,14789.0,2.285,0.014789
26,14739,2387718,14739.0,2.277,0.014739
27,14865,2408130,14865.0,2.297,0.014865
28,14550,2357100,14550.0,2.248,0.014550
29,15307,2479734,15307.0,2.365,0.015307
30,15139,2452518,15139.0,2.339,0.015139
