timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,508732,7554456,0,623156
2,508732,7554456,0,623156
3,508736,7554456,0,623172
4,508736,7554456,0,623172
5,508736,7554456,0,623180
6,508740,7554456,0,623180
7,508740,7554456,0,623180
8,508744,7554456,0,623180
9,508744,7554456,0,623188
10,508748,7554456,0,623188
11,508748,7554456,0,623192
12,508748,7554456,0,623192
13,508748,7554456,0,623264
14,508752,7554456,0,623264
15,508752,7554456,0,625192
16,508756,7554456,0,625192
17,508764,7554456,0,625200
18,508768,7554456,0,625200
19,508768,7554456,0,625204
20,508768,7554456,0,0
21,508768,7554456,0,0
22,508768,7554456,0,0
23,508768,7554456,0,0
24,508768,7554456,0,0
25,508768,7554456,0,0
26,508768,7554456,0,0
27,508768,7554456,0,0
28,508768,7554456,0,0
29,508768,7554456,0,0
30,508768,7554456,0,0
