strace: Process 1344940 attached with 20 threads
strace: Process 1345459 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 92.47    0.218450         235       926       298 futex
  0.20    0.000474           4        96           getrusage
  0.04    0.000090           1        74           pread64
  0.05    0.000111           1        71           write
  0.04    0.000104           2        46           read
  5.60    0.013219         550        24           epoll_wait
  0.02    0.000051           2        22           lseek
  0.18    0.000414          24        17           mmap
  0.02    0.000047           3        14           rt_sigprocmask
  0.08    0.000181          22         8         6 restart_syscall
  0.01    0.000029           4         6           madvise
  0.00    0.000000           0         3           close
  0.00    0.000005           2         2           gettid
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000001           1         1           mprotect
  0.01    0.000021          21         1           unlink
  0.00    0.000001           1         1           prctl
  0.03    0.000061          61         1           clock_nanosleep
  0.00    0.000001           1         1           set_robust_list
  0.00    0.000001           1         1           rseq
  1.26    0.002967        2967         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.236228         179      1318       304 total
