timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,1350,1948,2967,4053,133,5507,1419,447
2,1343,1938,3015,4025,104,5487,1414,449
3,1296,1846,2703,3559,94,5523,1351,403
4,1588,2489,3589,4971,121,8303,1702,603
5,1620,2375,3489,4835,139,6495,1707,541
6,3765,4351,5067,5535,87,6023,3422,1006
7,2741,4711,5219,6595,85,7315,3039,1303
8,1903,2991,4563,6075,148,8695,2042,759
9,1639,2559,4119,5499,130,7467,1768,653
10,1802,2709,4043,5647,160,8535,1909,646
11,1717,3085,4579,5135,115,7007,1946,858
12,1704,2551,3799,5127,150,7275,1798,607
13,1830,2675,3999,5367,155,9247,1917,629
14,1519,2275,3593,5179,154,9031,1623,567
15,1378,1913,2829,3787,143,6127,1427,416
16,1380,2014,2893,3955,89,6135,1451,443
17,1376,1975,2951,3845,139,7735,1440,443
18,1866,2399,2725,3609,92,4983,1819,554
19,1367,2121,2859,3801,93,5591,1461,468
20,1359,1916,2875,3823,141,5315,1415,426
21,1361,1921,2831,3619,154,5767,1416,420
22,1361,1930,2847,3777,147,5147,1418,422
23,1369,1939,2867,3859,135,4935,1424,427
24,1357,1906,2823,3851,134,5147,1413,414
25,1351,1918,2867,3975,130,6291,1415,427
26,1373,1940,2851,3787,123,5339,1431,423
27,1358,1902,2833,3993,157,6123,1415,418
28,1357,1904,2763,3683,148,6143,1412,406
29,1385,1950,2821,3789,143,5019,1437,421
30,1353,1908,2793,3641,144,9271,1409,415
