timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1385,450,776,265
2,35276,8495,31679,9193
3,34828,8934,30977,10626
4,35422,9253,31102,10276
5,43553,6725,38725,6816
6,44020,6870,39835,6303
7,34309,9191,31081,9927
8,34131,9301,31213,9568
9,34460,9076,30841,9793
10,33768,8857,31160,10050
11,33997,9194,30745,10191
12,34325,9343,31445,10215
13,33931,8853,30925,10091
14,34802,9080,30840,10419
15,34336,9129,30179,9686
16,34681,9026,29988,9591
17,33771,9019,30038,10123
18,17587,4806,0,0
19,26,0,0,0
20,26,0,0,0
21,27,0,0,0
22,28,0,0,0
23,26,0,0,0
24,26,0,0,0
25,26,0,0,0
26,27,0,0,0
27,28,0,0,0
28,26,1,0,0
29,26,0,0,0
30,26,0,0,0
