timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,33,1,25,3
2,33,1,25,3
3,33,1,25,3
4,33,1,25,3
5,33,1,25,3
6,33,1,25,3
7,33,1,25,3
8,33,1,25,3
9,33,1,25,3
10,33,1,25,3
11,33,1,25,3
12,33,1,25,3
13,33,1,25,3
14,33,1,25,3
15,33,1,25,3
16,33,1,25,3
17,33,1,25,3
18,33,1,25,3
19,33,1,0,0
20,33,1,0,0
21,33,1,0,0
22,33,1,0,0
23,33,1,0,0
24,33,1,0,0
25,33,1,0,0
26,33,1,0,0
27,33,1,0,0
28,33,1,0,0
29,33,1,0,0
30,33,1,0,0
