timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,28448,14917846720,28448.0,14226.767,0.028448
2,23554,12351482060,23554.0,11779.291,0.023554
3,21395,11219324050,21395.0,10699.581,0.021395
4,21644,11349897160,21644.0,10824.105,0.021644
5,19676,10317897640,19676.0,9839.914,0.019676
6,19059,9994349010,19059.0,9531.354,0.019059
7,16667,8740008130,16667.0,8335.121,0.016667
8,20436,10716434040,20436.0,10219.988,0.020436
9,21028,11026872920,21028.0,10516.045,0.021028
10,19964,10468921960,19964.0,9983.942,0.019964
11,24782,12995432980,24782.0,12393.411,0.024782
12,29126,15273383140,29126.0,14565.833,0.029126
13,29201,15312712390,29201.0,14603.341,0.029201
14,28837,15121834430,28837.0,14421.305,0.028837
15,28906,15158017340,28906.0,14455.812,0.028906
16,29066,15241919740,29066.0,14535.827,0.029066
17,29080,15249261200,29080.0,14542.829,0.029080
18,29010,15212553900,29010.0,14507.822,0.029010
19,29047,15231956330,29047.0,14526.326,0.029047
20,29004,15209407560,29004.0,14504.821,0.029004
21,28968,15190529520,28968.0,14486.818,0.028968
22,29041,15228809990,29041.0,14523.325,0.029041
23,28880,15144383200,28880.0,14442.809,0.028880
24,28904,15156968560,28904.0,14454.812,0.028904
25,28807,15106102730,28807.0,14406.302,0.028807
26,28488,14938822320,28488.0,14246.771,0.028488
27,28659,15028493010,28659.0,14332.288,0.028659
28,28837,15121834430,28837.0,14421.305,0.028837
29,28719,15059956410,28719.0,14362.294,0.028719
30,28839,15122883210,28839.0,14422.305,0.028839
