timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,162,1,0,0
2,15157,4,0,0
3,15172,2,0,0
4,15187,3,0,0
5,15215,1,0,0
6,15210,7,0,0
7,15214,5,0,0
8,15233,1,0,0
9,15212,0,0,0
10,15192,1,0,0
11,15215,5,0,0
12,15208,1,0,0
13,15202,4,0,0
14,15208,4,0,0
15,15196,2,0,0
16,15218,0,0,0
17,15221,0,0,0
18,15214,0,0,0
19,15207,6,0,0
20,15218,3,0,0
21,15207,1,0,0
22,15197,2,0,0
23,15224,2,0,0
24,15198,2,0,0
25,15214,2,0,0
26,15198,5,0,0
27,15207,4,0,0
28,15217,3,0,0
29,15211,4,0,0
30,15221,1,0,0
