strace: Process 1369497 attached with 22 threads
strace: Process 1369998 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 82.56    0.104338         153       679       132 futex
  0.05    0.000059           0        74           pread64
  0.00    0.000002           0        71           write
  0.00    0.000006           0        43           read
  0.00    0.000003           0        22           lseek
  4.03    0.005097         242        21           epoll_wait
  0.04    0.000053           2        19           mmap
  0.02    0.000025           1        16           rt_sigprocmask
  0.02    0.000027           3         7           madvise
 11.71    0.014799        2114         7         5 restart_syscall
  0.00    0.000000           0         3           close
  0.00    0.000001           0         2           sched_getaffinity
  0.00    0.000001           1         1           mprotect
  0.02    0.000021          21         1           unlink
  0.02    0.000022          22         1           getrusage
  0.00    0.000000           0         1           prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000001           1         1           set_robust_list
  0.00    0.000001           1         1           rseq
  1.53    0.001929        1929         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.126385         130       972       137 total
