syscall_name,count,errors,total_time_us,avg_time_us,pct_time
accept4,101136,0,2895926,28,0.45
futex,2679,0,352200209,131467,55.00
restart_syscall,6,0,1738269,289711,0.27
rt_sigreturn,4,0,146,36,0.00
sendto,4,0,44,11,0.00
newfstatat,1,0,0,0,0.00
