timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1972,429,1191,565
2,74342,11472,72906,18990
3,75485,11398,73380,19650
4,74066,11236,70196,20019
5,73766,11401,72004,18637
6,75567,11587,74804,19117
7,75992,11693,74950,19383
8,75414,11505,73997,19859
9,75057,11674,71977,19268
10,75315,11422,75227,19551
11,74420,11641,71481,19398
12,75478,11470,72876,18499
13,75278,11640,74386,19590
14,75309,11590,73427,19445
15,74177,11428,71463,19802
16,75371,11336,73481,19203
17,75315,11638,74425,19940
18,75273,11578,73016,19121
19,74106,11661,71436,19574
20,56235,9043,52252,14995
21,26,0,0,0
22,26,0,0,0
23,27,0,0,0
24,26,0,0,0
25,28,0,0,0
26,26,0,0,0
27,26,0,0,0
28,27,0,0,0
29,26,0,0,0
30,28,0,0,0
