timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,871,235,1250,247
2,18220,6349,60488,6973
3,18061,6642,60112,7175
4,18038,6380,59474,7287
5,18069,6387,58132,6971
6,18417,6398,60239,7257
7,18096,6612,60751,7229
8,18270,6602,59014,7260
9,18036,6632,60043,7256
10,19301,6349,60884,6931
11,18087,6644,58942,7131
12,18197,6191,57400,7077
13,18132,6474,60550,7352
14,17895,6502,58891,7323
15,18017,6365,59361,7276
16,27359,2905,97098,4283
17,17928,282,0,0
18,15197,5,0,0
19,15190,2,0,0
20,15180,2,0,0
21,15210,0,0,0
22,15181,6,0,0
23,15214,6,0,0
24,15198,0,0,0
25,15197,1,0,0
26,15215,1,0,0
27,15209,3,0,0
28,15201,1,0,0
29,15204,1,0,0
30,15209,3,0,0
