timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1103,446,1040,503
2,28569,6314,25950,7836
3,24792,6835,23695,8033
4,26406,7409,23548,8775
5,25013,7003,23019,8388
6,25510,7151,23499,8364
7,25021,7207,23698,8547
8,25452,7149,23740,8882
9,26554,6898,25214,8317
10,25672,7471,23695,8350
11,25486,6874,23463,8952
12,25611,7157,23137,8115
13,25264,7201,23663,8923
14,3961,1123,0,0
15,26,0,0,0
16,27,0,0,0
17,26,0,0,0
18,26,0,0,0
19,28,0,0,0
20,26,0,0,0
21,27,0,0,0
22,26,0,0,0
23,26,0,0,0
24,28,0,0,0
25,26,0,0,0
26,26,0,0,0
27,27,0,0,0
28,26,0,0,0
29,27,0,0,0
30,26,0,0,0
