timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1757,666,1054,458
2,25113,6603,23802,8897
3,25850,6752,24005,9452
4,26654,6582,24496,8891
5,24908,6807,23241,9435
6,25413,6830,24025,9421
7,26313,7004,24678,9326
8,24683,6875,23173,9410
9,25601,6586,23686,9676
10,25696,6934,23534,8898
11,25235,7099,24423,9110
12,25684,6812,23659,9085
13,6457,1793,0,0
14,26,0,0,0
15,26,0,0,0
16,27,0,0,0
17,26,0,0,0
18,28,0,0,0
19,26,0,0,0
20,26,0,0,0
21,27,0,0,0
22,26,0,0,0
23,28,0,0,0
24,26,0,0,0
25,25,0,0,0
26,27,0,0,0
27,26,0,0,0
28,28,0,0,0
29,26,0,0,0
30,26,0,0,0
