timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1375,339,817,254
2,26822,6459,22214,5332
3,26782,6631,22625,5406
4,27775,6468,23762,5320
5,28099,6618,24380,5427
6,28608,6543,24733,5470
7,27852,6555,23284,5091
8,27263,6594,23214,5370
9,28312,6415,23635,5293
10,27136,6410,22009,5185
11,26900,6668,21903,5506
12,27953,6568,23675,5467
13,1804,490,0,0
14,26,0,0,0
15,27,0,0,0
16,26,0,0,0
17,28,0,0,0
18,26,0,0,0
19,26,0,0,0
20,27,0,0,0
21,26,0,0,0
22,27,0,0,0
23,26,0,0,0
24,26,0,0,0
25,27,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,26,0,0,0
30,27,0,0,0
