timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,11871,14431,19663,22463,88,26111,11672,2839
2,15351,19279,27567,32015,87,39935,15431,3843
3,15543,21327,32623,42591,78,49887,15932,4944
4,15759,19855,27071,30303,82,36479,15849,3640
5,17087,25023,29039,34335,80,45247,18153,4808
6,17791,27407,36575,40255,91,58719,19237,5774
7,21295,26959,31375,39295,104,51391,20814,5240
8,16055,22015,26687,33087,101,42463,16479,4353
9,16959,25887,33023,45023,108,52127,18001,5868
10,12871,14623,17183,19263,128,23247,12683,2196
11,12991,15183,18703,21615,136,24511,12758,2702
12,12759,14471,17679,19919,142,23167,12596,2256
13,12687,14447,16975,20095,89,23695,12589,2068
14,12607,14215,16447,18639,107,23439,12515,1935
15,12607,14055,15895,17999,112,22799,12517,1824
16,12455,14335,19135,26527,89,29599,12400,2435
17,12471,14175,20687,28511,130,31231,12351,2535
18,12751,14303,16319,18303,121,21791,12570,2085
19,12543,14007,16119,17631,136,19759,12414,1892
20,12567,14095,18287,21391,109,23199,12380,2303
21,12503,14063,16239,18207,101,21167,12361,1976
22,12415,14039,16071,18399,83,21887,12341,1942
23,12255,14047,17663,21887,141,27439,12188,2191
24,12431,13807,16175,18015,107,20863,12257,2010
25,12535,14039,17215,25647,133,29071,12311,2199
26,12655,14399,17711,24287,84,29663,12565,2264
27,12447,14151,18287,22127,128,36031,12261,2410
28,12447,13831,15679,17807,93,21471,12274,1890
29,12239,13887,17919,26575,136,28527,12043,2340
30,1922,10839,14119,20031,85,22303,4199,4188
