timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,921,208,1586,193
2,26526,4236,67683,7082
3,24643,1885,60002,3060
4,27261,155,41794,256
5,26746,100,38581,201
6,26678,134,38641,200
7,29285,272,63480,804
8,17634,575,24609,17253
9,15311,523,10937,17378
10,15176,416,9575,17770
11,15682,2514,9095,5904
12,15492,1985,9864,9242
13,18426,824,15014,26693
14,23904,673,19546,39646
15,23823,967,19547,38839
16,23965,982,19910,39260
17,23126,851,18849,37094
18,23754,850,19493,38493
19,23214,946,19016,36309
20,22418,862,18111,35021
21,19847,626,45736,26253
22,15191,4,0,0
23,15211,2,0,0
24,15199,4,0,0
25,15225,0,0,0
26,15204,4,0,0
27,15206,3,0,0
28,15223,0,0,0
29,15198,0,0,0
30,15208,2,0,0
