timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,109936,10634708,0,111612
2,109936,10634708,0,111632
3,109952,10634708,0,111636
4,109956,10634708,0,111660
5,109980,10634708,0,111680
6,109980,10634708,0,111688
7,109980,10634708,0,111712
8,109984,10634708,0,111712
9,109984,10634708,0,111724
10,109988,10634708,0,111748
11,110012,10634708,0,111748
12,110012,10634708,0,111752
13,110024,10634708,0,111756
14,110024,10634708,0,111756
15,110024,10634708,0,111768
16,110024,10634708,0,111784
17,110032,10634708,0,111792
18,110080,10634708,0,111796
19,110080,10634708,0,111796
20,110080,10634708,0,111836
21,110080,10634708,0,111836
22,110084,10634708,0,111844
23,110084,10634708,0,111852
24,110092,10634708,0,111856
25,110092,10634708,0,111860
26,110092,10634708,0,111888
27,110096,10634708,0,111888
28,110096,10634708,0,111912
29,110096,10634708,0,111916
30,110096,10634708,0,0
