timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,287,0,74,0
2,16859,3,7224,7
3,16933,7,7203,4
4,16943,1,7062,8
5,16969,6,7138,3
6,16692,6,6302,5
7,16889,5,6888,1
8,16856,13,6834,5
9,16953,3,7338,8
10,16886,6,7105,2
11,16752,8,6516,4
12,16854,13,7060,8
13,16815,8,6866,3
14,16938,4,7367,4
15,17060,7,7752,5
16,16848,3,7204,5
17,16698,10,6355,10
18,16943,7,7213,5
19,16839,5,7034,9
20,16959,7,7302,10
21,17021,12,7625,8
22,16761,11,6440,5
23,16681,11,6278,10
24,16863,9,7244,4
25,15426,4,0,0
26,15176,5,0,0
27,15211,5,0,0
28,15210,3,0,0
29,15218,0,0,0
30,15211,7,0,0
