timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1856,394,1385,425
2,81131,12056,61794,21215
3,82212,12155,63963,22251
4,80043,12482,63841,23018
5,78809,11951,61732,21543
6,81440,12082,63463,21588
7,81672,12926,65296,22242
8,81262,12154,63934,22224
9,81927,13150,65688,22429
10,81507,12619,65218,23308
11,80522,12300,63166,23533
12,81666,12660,63631,21524
13,82480,12537,65138,21992
14,80443,12997,61878,22142
15,69258,11073,54371,18039
16,68936,10763,53721,17276
17,68935,10444,52911,18378
18,68951,10685,53193,19196
19,68701,11130,52637,17662
20,69970,10808,51070,16503
21,23066,3797,0,0
22,26,0,0,0
23,28,0,0,0
24,27,0,0,0
25,26,0,0,0
26,26,0,0,0
27,26,0,0,0
28,27,0,0,0
29,27,0,0,0
30,27,0,0,0
