timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,777,29,591,8
2,30946,8045,65119,7439
3,30491,8162,64339,7434
4,30992,8425,63897,7458
5,30560,8289,64246,7419
6,32039,8667,66284,7422
7,30782,8305,64185,7628
8,31156,8183,64648,7485
9,30755,8413,64515,7308
10,30299,8612,64101,7651
11,30776,8734,63856,7653
12,30199,8738,65217,7373
13,30357,8672,65627,7566
14,29826,8864,65282,7514
15,30232,8722,63271,7439
16,29851,8876,64154,7476
17,29917,8552,62930,7354
18,30949,9028,64325,7768
19,30091,8869,64147,7742
20,30810,8857,63533,7602
21,29964,9425,64108,7912
22,22355,6415,46346,5607
23,28,0,0,0
24,26,0,0,0
25,27,0,0,0
26,26,0,0,0
27,26,0,0,0
28,28,0,0,0
29,26,0,0,0
30,27,0,0,0
