strace: Process 1376281 attached with 22 threads
strace: Process 1376783 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 89.34    0.298365         230      1292       433 futex
  0.14    0.000475           3       141           getrusage
  0.01    0.000019           0        74           pread64
  0.12    0.000416           5        71           write
  0.01    0.000046           1        46           read
  5.96    0.019899         829        24           epoll_wait
  0.00    0.000004           0        22           lseek
  0.01    0.000036           1        19           mmap
  0.00    0.000009           0        16           rt_sigprocmask
  3.81    0.012716        1589         8         6 restart_syscall
  0.27    0.000911         130         7           madvise
  0.00    0.000000           0         3           close
  0.00    0.000003           1         3           gettid
  0.00    0.000001           0         2           sched_getaffinity
  0.00    0.000002           2         1           mprotect
  0.00    0.000004           4         1           unlink
  0.00    0.000001           1         1           prctl
  0.02    0.000073          73         1           clock_nanosleep
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
  0.29    0.000982         982         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.333962         192      1735       439 total
