timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,899,1135,1526,1985,252,2887,920,183
2,905,1152,1621,2281,183,3875,928,204
3,897,1136,1600,2267,232,4279,920,200
4,1007,1502,2439,3601,111,6099,1079,368
5,1071,1534,2495,3891,134,7283,1135,370
6,1065,1480,2435,4047,110,6171,1117,361
7,1180,1764,2987,4315,141,7783,1266,458
8,1183,1860,2977,4555,121,5643,1290,475
9,1113,1642,2557,3701,104,5635,1184,386
10,1100,1668,2839,3677,107,5111,1196,433
11,1108,1568,2461,3671,113,5551,1161,366
12,21247,23231,23999,25807,7472,26847,21546,1387
13,21423,23327,24383,25039,20288,25183,21735,1028
14,21599,23551,24095,24431,20672,24543,22003,925
15,21151,23055,23583,23887,20320,23967,21499,919
16,20927,22911,25487,27535,20288,27599,21553,1168
17,20911,22863,24559,26239,20000,26367,21359,1082
18,21071,22959,24063,24895,20016,24927,21404,1021
19,20815,22831,24591,25583,20064,25679,21331,1049
20,20927,23119,26911,27311,20144,27375,21513,1311
21,21135,23183,24959,27263,20000,27375,21562,1143
22,21279,23167,24047,24223,20128,24255,21616,970
23,21471,23359,24959,25455,20352,25535,21801,1016
24,20735,22975,27071,27711,20144,28527,21471,1442
25,21215,23135,24207,25103,20192,25151,21512,1041
26,20639,22607,23999,25423,20128,25519,21137,963
27,21119,23039,23999,24383,20192,24415,21529,964
28,20895,22799,23391,23983,20160,24015,21274,911
29,21359,23663,26687,27311,20160,27391,21921,1417
30,22543,25023,27423,27519,20128,27599,22738,2040
