strace: Process 1295216 attached with 14 threads
strace: Process 1295642 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 89.48    0.107808          81      1330       443 futex
  0.27    0.000326           4        75           write
  0.45    0.000542           7        74           pread64
  0.01    0.000014           0        46           read
  6.88    0.008288         345        24           epoll_wait
  0.00    0.000002           0        22           lseek
  0.70    0.000839          55        15           mmap
  0.37    0.000442          34        13           rt_sigprocmask
  0.22    0.000265          44         6         4 restart_syscall
  0.02    0.000020           5         4           mprotect
  0.78    0.000940         235         4           madvise
  0.00    0.000000           0         3           close
  0.01    0.000016           8         2           gettid
  0.00    0.000006           3         2           sched_getaffinity
  0.04    0.000045          45         1           unlink
  0.00    0.000000           0         1           prctl
  0.01    0.000008           8         1           set_robust_list
  0.01    0.000007           7         1           rseq
  0.76    0.000913         913         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.120481          74      1625       447 total
