timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,801,234,1045,125
2,30842,8148,64131,7287
3,31272,8517,64433,7111
4,30860,8894,64775,7780
5,30450,8450,64349,7401
6,30694,8712,64482,7486
7,30999,8793,63873,7089
8,30242,8771,64153,7739
9,30924,9047,64174,7399
10,30330,8657,64256,7556
11,30687,8903,64688,7668
12,26382,7886,54185,6496
13,26323,7688,53824,6238
14,26998,7744,53733,6614
15,26517,7731,54491,6704
16,26008,7737,53462,6558
17,26091,7852,52609,6606
18,25608,7789,53694,6720
19,26804,7916,53572,6686
20,26182,7910,54180,6659
21,26481,7853,54707,6689
22,16506,4767,-2024269,-242265
23,27,1,0,0
24,26,0,0,0
25,27,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,26,0,0,0
30,27,0,0,0
