timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,76,88,120,136,67,624,79,10
2,76,88,122,133,67,171,78,7
3,76,87,98,127,68,144,77,6
4,91,129,162,187,68,821,97,22
5,105,145,181,235,75,3333,112,43
6,108,155,192,571,75,2925,117,57
7,103,145,182,283,74,2867,111,49
8,82,91,107,145,72,160,83,6
9,82,94,130,148,71,197,84,8
10,83,93,126,143,71,715,84,10
11,81,88,107,140,71,182,82,6
12,80,91,101,132,72,168,81,6
13,81,93,125,141,70,181,83,7
14,81,93,126,141,71,190,83,8
15,81,93,106,144,71,1165,83,14
16,81,92,129,145,70,200,82,8
17,79,92,114,140,70,173,82,7
18,81,93,116,149,72,795,83,10
19,79,92,109,139,70,689,81,9
20,80,92,121,147,71,167,82,7
21,81,92,105,135,70,193,82,6
22,80,92,128,147,71,188,81,7
23,82,91,112,138,71,828,83,10
24,80,92,109,136,71,193,82,7
25,81,93,109,148,72,360,82,8
26,81,92,119,148,71,210,83,7
27,82,93,113,140,70,548,83,8
28,80,92,128,141,72,729,82,10
29,79,92,109,142,69,162,81,7
30,81,92,119,142,71,975,83,11
