timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,311,0,786,0
2,20882,82,80388,67
3,20709,57,80204,65
4,20954,86,81983,86
5,21126,56,83997,58
6,21509,70,77978,69
7,21116,40,82104,73
8,20975,40,83072,70
9,20962,58,82488,71
10,21132,87,80614,62
11,21324,39,83217,70
12,21010,68,81785,65
13,21619,82,80459,75
14,21284,64,82495,70
15,21137,97,81915,59
16,21350,84,81464,58
17,21248,82,82208,73
18,21329,87,83101,56
19,21152,59,78395,67
20,21092,79,82659,69
21,20992,74,80147,88
22,21301,57,83366,63
23,21386,83,82823,60
24,20946,91,81998,69
25,856,2,0,0
26,26,0,0,0
27,26,0,0,0
28,26,0,0,0
29,26,0,0,0
30,28,0,0,0
