timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1210,425,599,383
2,24047,6744,19847,6848
3,23673,6663,19815,6556
4,24907,6952,20589,6716
5,23507,6616,19745,6374
6,24679,6632,20454,6127
7,24195,6704,20778,6224
8,24272,6759,19960,6298
9,24243,6864,20939,6517
10,24205,6991,20482,6498
11,23665,6696,19574,6369
12,14507,4051,0,0
13,42,0,0,0
14,45,0,0,0
15,43,0,0,0
16,41,0,0,0
17,43,0,0,0
18,42,0,0,0
19,44,1,0,0
20,44,0,0,0
21,42,0,0,0
22,43,0,0,0
23,42,0,0,0
24,44,0,0,0
25,44,0,0,0
26,42,0,0,0
27,42,0,0,0
28,43,0,0,0
29,44,0,0,0
30,43,0,0,0
