timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,28767,15085127130,28767.0,14386.298,0.028767
2,23000,12060970000,23000.0,11502.237,0.023000
3,26067,13669274130,26067.0,13036.036,0.026067
4,28163,14768395570,28163.0,14084.240,0.028163
5,28131,14751615090,28131.0,14068.236,0.028131
6,27994,14679773660,27994.0,13999.723,0.027994
7,28096,14733261440,28096.0,14050.733,0.028096
8,28208,14791993120,28208.0,14106.744,0.028208
9,28189,14782029710,28189.0,14097.242,0.028189
10,28058,14713334620,28058.0,14031.729,0.028058
11,28153,14763676060,28153.0,14079.739,0.028153
12,28188,14780980930,28188.0,14096.242,0.028188
13,28151,14762102890,28151.0,14078.238,0.028151
14,28213,14794615070,28213.0,14109.244,0.028213
15,28175,14774688250,28175.0,14090.241,0.028175
16,28149,14761054110,28149.0,14077.238,0.028149
17,28058,14713334620,28058.0,14031.729,0.028058
18,28057,14712810230,28057.0,14031.229,0.028057
19,28051,14709663890,28051.0,14028.229,0.028051
20,28017,14691834630,28017.0,14011.225,0.028017
21,28051,14709663890,28051.0,14028.229,0.028051
22,28073,14721200470,28073.0,14039.231,0.028073
23,28153,14763151670,28153.0,14079.239,0.028153
24,28116,14743749240,28116.0,14060.735,0.028116
25,28079,14724346810,28079.0,14042.231,0.028079
26,27739,14546054210,27739.0,13872.198,0.027739
27,28010,14688163900,28010.0,14007.725,0.028010
28,28086,14728017540,28086.0,14045.732,0.028086
29,28121,14746371190,28121.0,14063.235,0.028121
30,27952,14657749280,27952.0,13978.719,0.027952
