strace: Process 1335629 attached with 20 threads
strace: Process 1336115 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 92.86    0.221417         219      1010       321 futex
  0.15    0.000357           3       106           getrusage
  0.07    0.000156           2        74           pread64
  0.07    0.000177           2        71           write
  0.02    0.000049           1        47           read
  4.78    0.011403         456        25           epoll_wait
  0.00    0.000010           0        22           lseek
  0.09    0.000204          12        17           mmap
  0.00    0.000006           0        16           rt_sigprocmask
  1.56    0.003713         464         8         6 restart_syscall
  0.03    0.000080          11         7           madvise
  0.00    0.000003           1         3           close
  0.00    0.000004           2         2           mprotect
  0.00    0.000002           1         2           gettid
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000001           1         1           munmap
  0.00    0.000005           5         1           unlink
  0.00    0.000000           0         1           prctl
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
  0.35    0.000846         846         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.238433         168      1418       327 total
