timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,258,1,735,4
2,27702,64,74832,101
3,28264,86,72927,89
4,28014,84,71828,87
5,29001,84,69297,92
6,28358,80,69514,99
7,28216,49,72117,81
8,28524,67,67616,100
9,28069,95,71685,77
10,28788,82,67230,105
11,27522,96,73112,87
12,27932,75,71770,94
13,29206,35,65127,92
14,28332,55,63876,102
15,28726,42,71723,101
16,28175,49,73835,96
17,28015,51,69803,95
18,28914,51,70057,114
19,28028,66,73353,101
20,28447,59,70570,85
21,28362,82,69213,100
22,28425,86,68084,90
23,27402,77,77107,104
24,26147,78,65692,89
25,26,0,0,0
26,26,0,0,0
27,28,0,0,0
28,25,0,0,0
29,26,0,0,0
30,26,0,0,0
