timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,662,187,890,194
2,15524,5964,36893,5526
3,15227,5812,35196,4716
4,14238,5907,34651,5280
5,15816,5078,36729,4986
6,14524,5260,34769,4925
7,14410,5554,32254,5052
8,15011,5493,35282,5311
9,14595,5886,36658,4778
10,15708,6109,36714,5044
11,13633,6081,34125,4551
12,13550,5490,32527,4528
13,14708,5274,35476,4961
14,16145,6379,37455,4790
15,13617,5807,32482,3952
16,13734,5779,34080,4589
17,13569,5888,33390,4446
18,14946,5820,35088,4594
19,16963,5937,38979,5208
20,10050,3179,-1181388,-181030
21,46,0,0,0
22,74,0,0,0
23,27,0,0,0
24,26,0,0,0
25,6,-13,0,0
26,26,0,0,0
27,26,0,0,0
28,27,0,0,0
29,26,0,0,0
30,28,0,0,0
