syscall_name,count,errors,total_time_us,avg_time_us,pct_time
accept,107916,0,541906,5,0.12
shutdown,98110,0,2228813,22,0.48
futex,44814,0,255570218,5702,55.05
restart_syscall,6,0,787584,131264,0.17
