timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,77864,12508020,77864.0,11.929,0.077864
2,60447,9724212,60447.0,9.274,0.060447
3,63532,10212156,63532.0,9.739,0.063532
4,53157,8567694,53157.0,8.171,0.053157
5,53878,8698266,53878.0,8.295,0.053878
6,55080,8896878,55080.0,8.485,0.055080
7,59326,9576630,59326.0,9.133,0.059326
8,54654,8831592,54654.0,8.422,0.054654
9,85180,13724964,85180.0,13.089,0.085180
10,86479,13943340,86479.0,13.297,0.086479
11,87501,14102424,87501.0,13.449,0.087501
12,87119,14042970,87119.0,13.392,0.087119
13,83796,13497030,83796.0,12.872,0.083796
14,78468,12628386,78468.0,12.043,0.078468
15,78555,12650418,78555.0,12.064,0.078555
16,78235,12602790,78235.0,12.019,0.078235
17,81072,13036950,81072.0,12.433,0.081072
18,79693,12821490,79693.0,12.228,0.079693
19,80627,12972474,80627.0,12.372,0.080627
20,79775,12841902,79775.0,12.247,0.079775
21,79946,12861018,79946.0,12.265,0.079946
22,80758,12992400,80758.0,12.391,0.080758
23,80697,12978468,80697.0,12.377,0.080697
24,79609,12808206,79609.0,12.215,0.079609
25,80588,12963888,80588.0,12.363,0.080588
26,79749,12837852,79749.0,12.243,0.079749
27,80311,12930840,80311.0,12.332,0.080311
28,80866,13013622,80866.0,12.411,0.080866
29,62507,10067814,62507.0,9.601,0.062507
30,23394,3786588,23394.0,3.611,0.023394
