strace: Process 1287409 attached with 14 threads
strace: Process 1287832 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 92.43    0.127986          87      1471       490 futex
  0.06    0.000085           1        75           write
  0.10    0.000142           1        74           pread64
  0.08    0.000113           2        44           read
  0.03    0.000036           1        22           lseek
  5.88    0.008141         370        22           epoll_wait
  0.03    0.000045           3        15           mmap
  0.36    0.000497          38        13           rt_sigprocmask
  0.18    0.000247          41         6         4 restart_syscall
  0.12    0.000168          33         5           mprotect
  0.07    0.000102          25         4           madvise
  0.00    0.000003           1         3           close
  0.00    0.000006           3         2           sched_getaffinity
  0.02    0.000025          25         1           unlink
  0.00    0.000004           4         1           prctl
  0.00    0.000002           2         1           gettid
  0.00    0.000006           6         1           set_robust_list
  0.00    0.000003           3         1           rseq
  0.62    0.000862         862         1           clone3
------ ----------- ----------- --------- --------- ------------------
100.00    0.138473          78      1762       494 total
