timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,111956,10634708,0,113452
2,111956,10634708,0,113472
3,111968,10634708,0,113488
4,111968,10634708,0,113500
5,111988,10634708,0,113532
6,111988,10634708,0,113536
7,111992,10634708,0,113572
8,111992,10634708,0,113612
9,111996,10634708,0,113664
10,111996,10634708,0,113668
11,112024,10634708,0,113672
12,112028,10634708,0,113692
13,112032,10634708,0,113696
14,112044,10634708,0,113708
15,112044,10634708,0,113724
16,112044,10634708,0,113728
17,112044,10634708,0,113736
18,112088,10634708,0,113740
19,112092,10634708,0,113752
20,112092,10634708,0,113776
21,112092,10634708,0,113784
22,112092,10634708,0,113840
23,112096,10634708,0,113844
24,112104,10634708,0,113844
25,112104,10634708,0,113860
26,112104,10634708,0,113860
27,112104,10634708,0,113864
28,112108,10634708,0,113872
29,112108,10634708,0,113872
30,112108,10634708,0,0
