syscall_name,count,errors,total_time_us,avg_time_us,pct_time
read,2065814,0,123365872,59,20.60
futex,93416,0,422207355,4519,70.50
write,61077,0,3966560,64,0.66
shutdown,30546,0,1904883,62,0.32
rt_sigreturn,1917,0,73871,38,0.01
restart_syscall,11,0,21949570,1995415,3.66
