timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1441,144,1774,157
2,88099,4508,160478,5229
3,89016,4752,161859,5400
4,89143,4508,162285,5141
5,88285,4808,160754,5701
6,89838,4868,164275,5757
7,88797,4799,162260,5764
8,89493,5284,163875,6176
9,89935,5043,164721,6261
10,89779,5195,163691,6390
11,89557,5278,162451,6496
12,90007,5403,164515,6599
13,89721,5534,163467,6722
14,89770,5707,164038,6920
15,89757,5963,163822,7130
16,89961,5982,164699,7200
17,89741,5973,164295,7405
18,89055,6335,162246,7739
19,88872,6470,162009,8010
20,89575,6530,163183,7852
21,88839,6667,161668,8220
22,88660,6620,160553,8388
23,12809,926,0,0
24,28,0,0,0
25,27,0,0,0
26,26,0,0,0
27,26,0,0,0
28,26,0,0,0
29,28,0,0,0
30,27,0,0,0
