timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,100248,11207060,0,100640
2,100316,11207060,0,0
3,100316,11207060,0,0
4,100316,11207060,0,0
5,100316,11207060,0,0
6,100316,11207060,0,0
7,100316,11207060,0,0
8,100316,11207060,0,0
9,100316,11207060,0,0
10,100316,11207060,0,0
11,100316,11207060,0,0
12,100316,11207060,0,0
13,100316,11207060,0,0
14,100316,11207060,0,0
15,100396,11207060,0,0
16,100396,11207060,0,0
17,100396,11207060,0,0
18,100396,11207060,0,0
19,100396,11207060,0,0
20,100396,11207060,0,0
21,100396,11207060,0,0
22,100396,11207060,0,0
23,100400,11207060,0,0
24,100400,11207060,0,0
25,100400,11207060,0,0
26,100400,11207060,0,0
27,100404,11207060,0,0
28,100412,11207060,0,0
29,100412,11207060,0,0
30,100412,11207060,0,0
