timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,4062,4259734098,4062.0,4062.399,0.004062
2,3548,3720713092,3548.0,3548.349,0.003548
3,4108,4307973332,4108.0,4108.404,0.004108
4,4156,4358309924,4156.0,4156.408,0.004156
5,4191,4395013689,4191.0,4191.412,0.004191
6,4154,4356212566,4154.0,4154.408,0.004154
7,4262,4469469898,4262.0,4262.419,0.004262
8,4242,4448496318,4242.0,4242.417,0.004242
9,4347,4558607613,4347.0,4347.427,0.004347
10,4271,4478908009,4271.0,4271.420,0.004271
11,4220,4425425380,4220.0,4220.415,0.004220
12,4262,4469469898,4262.0,4262.419,0.004262
13,4248,4454788392,4248.0,4248.417,0.004248
14,4385,4598457415,4385.0,4385.431,0.004385
15,4366,4578532514,4366.0,4366.429,0.004366
16,4124,4324752196,4124.0,4124.405,0.004124
17,4246,4452691034,4246.0,4246.417,0.004246
18,4244,4450593676,4244.0,4244.417,0.004244
19,4175,4378234825,4175.0,4175.410,0.004175
20,4195,4399208405,4195.0,4195.412,0.004195
21,4193,4397111047,4193.0,4193.412,0.004193
22,4189,4392916331,4189.0,4189.411,0.004189
23,4196,4400257084,4196.0,4196.412,0.004196
24,4281,4489394799,4281.0,4281.421,0.004281
25,4357,4569094403,4357.0,4357.428,0.004357
26,4158,4360407282,4158.0,4158.408,0.004158
27,4242,4448496318,4242.0,4242.417,0.004242
28,4382,4595311378,4382.0,4382.430,0.004382
29,4458,4675010982,4458.0,4458.438,0.004458
30,4286,4494638194,4286.0,4286.421,0.004286
