timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,172,3,1025,2
2,14382,86,90554,43
3,14346,96,88732,54
4,14786,83,93078,51
5,14211,80,91123,48
6,14340,77,91231,37
7,14607,91,91773,50
8,15435,76,95121,46
9,14819,63,93972,52
10,14888,65,93588,32
11,14794,83,92774,28
12,14883,77,91226,42
13,14862,58,92302,40
14,14871,82,94033,45
15,14644,85,93107,34
16,14875,60,95343,42
17,14448,91,92742,48
18,14584,73,92721,49
19,14468,73,93312,31
20,14335,75,95168,57
21,14783,54,93752,35
22,14714,61,92414,48
23,14973,63,93700,47
24,10664,41,66387,22
25,26,0,0,0
26,28,0,0,0
27,26,0,0,0
28,26,0,0,0
29,26,0,0,0
30,26,0,0,0
