timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,693247,1212415,1519615,1608703,1363,1640447,755877,287190
2,856063,1449983,1548287,1768447,912,1781759,899291,319573
3,873471,1340415,1436671,1571839,740,1986559,860143,293881
4,864255,1299455,1651711,1685503,1168,1747967,850414,320472
5,882175,1311743,1546239,1667071,970,1681407,844067,298409
6,825343,1341439,1582079,1839103,738,1852415,873764,315071
7,668159,1483775,1722367,1904639,910,1943551,824555,410605
8,765951,1358847,1818623,1960959,834,2081791,852924,353430
9,945663,998911,1404927,1545215,949,1795071,818693,237531
10,975359,1384447,1615871,1639423,825,1832959,935271,323931
11,971775,1404927,1696767,1845247,1294,1866751,970893,301039
12,907263,1375231,1811455,1829887,955,1954815,884443,339045
13,739839,1236991,1846271,1961983,851,1982463,835288,321247
14,1075199,1440767,1689599,1850367,720,2022399,1017620,319796
15,817663,1342463,1859583,2092031,853,2217983,843151,365900
16,770559,1598463,2099199,2211839,885,2232319,866001,464430
17,798207,1401855,1897471,1929215,771,2398207,878733,375558
18,835583,1396735,1769471,1800191,1222,2115583,872582,350374
19,948735,1380351,1608703,1726463,1623,1890303,851895,330208
20,792575,1299455,1762303,1804287,1738,1869823,862163,319501
21,855039,1314815,1525759,2071551,1046,2076671,839209,304463
22,946687,1430527,1627135,1800191,961,1977343,912477,344689
23,867327,1263615,1795071,1999871,981,2010111,877033,307060
24,760831,1308671,1668095,1791999,1493,1858559,816144,333048
25,745471,1321983,1635327,1708031,1684,2002943,797537,356506
26,743423,1182719,1504255,1696767,1952,2062335,771420,286486
27,726015,1235967,1746943,2252799,907,2258943,818372,295969
28,658431,1122303,1498111,1685503,1138,2123775,725072,308755
29,713215,1182719,1611775,1698815,2212,1714175,783401,296979
30,704511,1234943,1719295,1890303,2040,1942527,767845,354041
