timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1055,323,761,248
2,17364,4188,17961,5175
3,18177,4566,19075,5143
4,17147,4451,16721,5143
5,17353,4466,17235,5339
6,5206,1213,0,0
7,32,0,0,0
8,33,0,0,0
9,32,0,0,0
10,31,0,0,0
11,4,-3,0,0
12,32,0,0,0
13,32,0,0,0
14,32,0,0,0
15,32,0,0,0
16,-61,-108,0,0
17,32,0,0,0
18,33,0,0,0
19,32,0,0,0
20,32,0,0,0
21,34,0,0,0
22,32,0,0,0
23,33,0,0,0
24,32,0,0,0
25,32,0,0,0
26,33,1,0,0
27,32,0,0,0
28,38,0,0,0
29,32,0,0,0
30,31,0,0,0
