timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1969,436,838,251
2,74806,13689,51703,13975
3,78606,12648,52493,13111
4,79089,12475,52960,14076
5,76804,12665,50478,12887
6,79126,12794,51751,13789
7,76616,13438,49494,14500
8,78282,13388,51301,14580
9,78970,13076,53070,13484
10,76579,13276,49756,15007
11,76582,13660,51748,14051
12,79265,13506,53186,13804
13,77694,13327,50516,13978
14,76548,13784,51378,14398
15,78728,13394,50955,13803
16,78033,13426,50326,13771
17,77479,13073,51500,14133
18,78070,13586,51619,15036
19,77135,13699,51182,14747
20,75888,14268,48475,15303
21,23731,4287,0,0
22,26,0,0,0
23,28,0,0,0
24,27,0,0,0
25,25,0,0,0
26,26,0,0,0
27,26,0,0,0
28,28,0,0,0
29,27,0,0,0
30,26,0,0,0
