timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,105388,11410860,0,105144
2,105388,11410860,0,105148
3,105392,11410860,0,105152
4,105396,11410860,0,105176
5,105416,11410860,0,105180
6,105416,11410860,0,105180
7,105420,11410860,0,105188
8,105420,11410860,0,105188
9,105424,11410860,0,105200
10,105424,11410860,0,105212
11,105464,11410860,0,105212
12,105464,11410860,0,105216
13,105464,11410860,0,105276
14,105464,11410860,0,105276
15,105464,11410860,0,105280
16,105464,11410860,0,105280
17,105468,11410860,0,105284
18,105468,11410860,0,105288
19,105472,11410860,0,105288
20,105472,11410860,0,105288
21,105472,11410860,0,105292
22,105472,11410860,0,105296
23,105472,11410860,0,105316
24,105532,11410860,0,0
25,105532,11410860,0,0
26,105532,11410860,0,0
27,105532,11410860,0,0
28,105532,11410860,0,0
29,105532,11410860,0,0
30,105532,11410860,0,0
