timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,15103,248972955,15103.0,237.439,0.015103
2,12688,209161680,12688.0,199.472,0.012688
3,15312,252418320,15312.0,240.725,0.015312
4,15717,259094745,15717.0,247.092,0.015717
5,15192,250440120,15192.0,238.838,0.015192
6,15436,254462460,15436.0,242.674,0.015436
7,14966,246714510,14966.0,235.285,0.014966
8,15014,247505790,15014.0,236.040,0.015014
9,15797,260413545,15797.0,248.350,0.015797
10,16084,265144740,16084.0,252.862,0.016084
11,15417,254149245,15417.0,242.376,0.015417
12,15402,253901970,15402.0,242.140,0.015402
13,15338,252846930,15338.0,241.134,0.015338
14,15361,253226085,15361.0,241.495,0.015361
15,15600,257166000,15600.0,245.253,0.015600
16,15084,248659740,15084.0,237.140,0.015084
17,16108,265540380,16108.0,253.239,0.016108
18,15947,262886295,15947.0,250.708,0.015947
19,15161,249929085,15161.0,238.351,0.015161
20,15539,256160415,15539.0,244.294,0.015539
21,15157,249863145,15157.0,238.288,0.015157
22,15203,250621455,15203.0,239.011,0.015203
23,15423,254248155,15423.0,242.470,0.015423
24,15406,253967910,15406.0,242.203,0.015406
25,15625,257578125,15625.0,245.646,0.015625
26,15129,249401565,15129.0,237.848,0.015129
27,15339,252863415,15339.0,241.149,0.015339
28,14766,243417510,14766.0,232.141,0.014766
29,15276,251824860,15276.0,240.159,0.015276
30,15175,250159875,15175.0,238.571,0.015175
