timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1597,368,1023,274
2,54868,10147,37993,11216
3,56461,10248,38071,11403
4,54758,10329,36933,11529
5,55613,10409,42292,14281
6,63135,10573,54827,17452
7,62720,10592,52850,17844
8,62698,10578,53424,18409
9,64112,10299,55749,18483
10,61563,10253,48923,16980
11,57457,10811,44286,15912
12,60507,10892,51011,17230
13,61885,10137,52807,18917
14,55860,10348,37304,12864
15,55316,10793,40789,14452
16,60962,10720,50313,16984
17,61847,10667,51938,18334
18,60158,10873,49639,17391
19,61376,10678,50734,18206
20,31827,6176,-1452886,-460839
21,139,0,0,0
22,120,8,0,0
23,54,0,0,0
24,44,0,0,0
25,130,14,0,0
26,46,0,0,0
27,46,0,0,0
28,47,0,0,0
29,46,0,0,0
30,48,0,0,0
