timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,94911,200703,257023,279807,88,282879,105190,66533
2,95487,207743,295679,321023,86,324607,107113,71043
3,95807,204415,269567,294655,74,296959,105128,64597
4,115455,218495,287487,329983,83,337663,122107,69528
5,123967,265983,347135,364287,87,367871,136777,86113
6,133247,235135,304639,328959,100,331007,134495,73670
7,126335,280063,368127,396287,115,398591,142901,90464
8,152575,286975,375039,395775,84,398591,153366,89603
9,138623,292607,438015,457727,99,461567,148963,99537
10,128831,274175,403455,432127,95,437503,141732,91433
11,134911,251135,347391,364287,95,368639,138928,83089
12,152191,284671,511743,564223,105,570367,154255,101636
13,616447,624639,625663,1442815,569856,1445887,612085,48613
14,611839,620031,1620991,2480127,600064,2506751,624602,135312
15,609791,618495,619519,3479551,600576,3516415,626445,193007
16,598015,604159,810495,3905535,587264,4349951,612172,187661
17,612351,623615,1614847,5005311,601088,5083135,635388,250569
18,638463,654847,1845247,4706303,610816,6053887,658713,260638
19,621055,652287,1532927,3942399,607232,4341759,647410,223398
20,617471,626175,1674239,3106815,608256,4947967,637505,194573
21,639487,650239,2461695,5734399,621056,6008831,671603,308734
22,641535,762879,1132543,3829759,606720,4521983,688683,231957
23,739327,812543,2377727,5197823,721408,6111231,800185,305072
24,753663,936447,3129343,6291455,742912,6299647,900274,450222
25,929279,942591,4227071,4476927,819200,4771839,1003954,516218
26,794111,864255,3481599,5414911,778240,6410239,915068,473223
27,681983,763903,2568191,5799935,669184,6082559,753141,358559
28,641023,665087,2910207,4333567,625664,7172095,689718,342415
29,643583,676351,1897471,4845567,634368,6029311,685454,297870
30,688639,805887,2879487,6189055,679424,6303743,777990,385636
